"COU","Country","SMALL_SUBNATIONAL_REGION","Small subnational region","LARGE_SUBNATIONAL_REGION","Large subnational region","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.73,"E","Estimated value"
"AUS","Australia","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,9.32,"E","Estimated value"
"AUT","Austria","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,12.72,"E","Estimated value"
"AUT","Austria","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,11.58,"E","Estimated value"
"BEL","Belgium","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,12.54,"E","Estimated value"
"BEL","Belgium","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,11.25,"E","Estimated value"
"CAN","Canada","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.09,"E","Estimated value"
"CAN","Canada","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,6.22,"E","Estimated value"
"CZE","Czech Republic","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,17.56,"E","Estimated value"
"CZE","Czech Republic","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,14.42,"E","Estimated value"
"DNK","Denmark","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,10.33,"E","Estimated value"
"DNK","Denmark","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,9.59,"E","Estimated value"
"FIN","Finland","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,5.57,"E","Estimated value"
"FIN","Finland","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,5.45,"E","Estimated value"
"FRA","France","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,10.47,"E","Estimated value"
"FRA","France","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,9.83,"E","Estimated value"
"DEU","Germany","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,11.78,"E","Estimated value"
"DEU","Germany","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,10.75,"E","Estimated value"
"GRC","Greece","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,15.69,"E","Estimated value"
"GRC","Greece","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,15.05,"E","Estimated value"
"HUN","Hungary","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,17.62,"E","Estimated value"
"HUN","Hungary","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,14.73,"E","Estimated value"
"ISL","Iceland","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,6.17,"E","Estimated value"
"ISL","Iceland","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,6.12,"E","Estimated value"
"IRL","Ireland","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,8.27,"E","Estimated value"
"IRL","Ireland","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.86,"E","Estimated value"
"ITA","Italy","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,16.07,"E","Estimated value"
"ITA","Italy","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,14.66,"E","Estimated value"
"JPN","Japan","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,13.2,"E","Estimated value"
"JPN","Japan","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,13.06,"E","Estimated value"
"KOR","Korea","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,25.88,"E","Estimated value"
"KOR","Korea","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,25.94,"E","Estimated value"
"LUX","Luxembourg","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,9.28,"E","Estimated value"
"LUX","Luxembourg","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,8.46,"E","Estimated value"
"MEX","Mexico","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,16.66,"E","Estimated value"
"MEX","Mexico","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,14.72,"E","Estimated value"
"NLD","Netherlands","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,12.07,"E","Estimated value"
"NLD","Netherlands","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,11.36,"E","Estimated value"
"NZL","New Zealand","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.21,"E","Estimated value"
"NZL","New Zealand","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.42,"E","Estimated value"
"NOR","Norway","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,6.65,"E","Estimated value"
"NOR","Norway","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,6.33,"E","Estimated value"
"POL","Poland","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,22.48,"E","Estimated value"
"POL","Poland","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,18.83,"E","Estimated value"
"PRT","Portugal","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,8.85,"E","Estimated value"
"PRT","Portugal","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.85,"E","Estimated value"
"SVK","Slovak Republic","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,18.78,"E","Estimated value"
"SVK","Slovak Republic","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,15.92,"E","Estimated value"
"ESP","Spain","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,10.38,"E","Estimated value"
"ESP","Spain","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,9.55,"E","Estimated value"
"SWE","Sweden","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,6.36,"E","Estimated value"
"SWE","Sweden","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,6.13,"E","Estimated value"
"CHE","Switzerland","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,10.25,"E","Estimated value"
"CHE","Switzerland","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,9.55,"E","Estimated value"
"TUR","Türkiye","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,23.82,"E","Estimated value"
"TUR","Türkiye","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,24.74,"E","Estimated value"
"GBR","United Kingdom","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,10.18,"E","Estimated value"
"GBR","United Kingdom","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,9.88,"E","Estimated value"
"USA","United States","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.84,"E","Estimated value"
"USA","United States","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.2,"E","Estimated value"
"G7M","G7","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,10.365,"E","Estimated value"
"G7M","G7","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,10.271,"E","Estimated value"
"AFG","Afghanistan","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,68.27,"E","Estimated value"
"AFG","Afghanistan","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,59.23,"E","Estimated value"
"ALB","Albania","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,18.9,"E","Estimated value"
"ALB","Albania","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,15.57,"E","Estimated value"
"DZA","Algeria","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,24.93,"E","Estimated value"
"DZA","Algeria","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,24.36,"E","Estimated value"
"ASM","American Samoa","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,6.96,"E","Estimated value"
"ASM","American Samoa","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,6.7,"E","Estimated value"
"AND","Andorra","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,10.43,"E","Estimated value"
"AND","Andorra","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,9.51,"E","Estimated value"
"AGO","Angola","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,24.2,"E","Estimated value"
"AGO","Angola","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,24.4,"E","Estimated value"
"AIA","Anguilla","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.89,"E","Estimated value"
"AIA","Anguilla","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.71,"E","Estimated value"
"ATG","Antigua and Barbuda","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,18.99,"E","Estimated value"
"ATG","Antigua and Barbuda","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,19.13,"E","Estimated value"
"ARG","Argentina","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,14.5,"E","Estimated value"
"ARG","Argentina","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,14.72,"E","Estimated value"
"ARM","Armenia","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,34.73,"E","Estimated value"
"ARM","Armenia","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,33.16,"E","Estimated value"
"ABW","Aruba","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,9.1,"E","Estimated value"
"ABW","Aruba","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,9.11,"E","Estimated value"
"AZE","Azerbaijan","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,23.78,"E","Estimated value"
"AZE","Azerbaijan","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,22.55,"E","Estimated value"
"BHS","Bahamas","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,18.04,"E","Estimated value"
"BHS","Bahamas","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,18.01,"E","Estimated value"
"BHR","Bahrain","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,70.01,"E","Estimated value"
"BHR","Bahrain","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,58.25,"E","Estimated value"
"BGD","Bangladesh","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,59.47,"E","Estimated value"
"BGD","Bangladesh","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,50.3,"E","Estimated value"
"BRB","Barbados","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,23,"E","Estimated value"
"BRB","Barbados","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,23.06,"E","Estimated value"
"BLR","Belarus","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,17.2,"E","Estimated value"
"BLR","Belarus","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,15.81,"E","Estimated value"
"BLZ","Belize","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,23.57,"E","Estimated value"
"BLZ","Belize","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,22.94,"E","Estimated value"
"BEN","Benin","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,53.6,"E","Estimated value"
"BEN","Benin","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,46.35,"E","Estimated value"
"BMU","Bermuda","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.39,"E","Estimated value"
"BMU","Bermuda","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.2,"E","Estimated value"
"BTN","Bhutan","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,34.12,"E","Estimated value"
"BTN","Bhutan","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,30.05,"E","Estimated value"
"BOL","Bolivia","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,25.88,"E","Estimated value"
"BOL","Bolivia","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,25.08,"E","Estimated value"
"BIH","Bosnia and Herzegovina","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,33.2,"E","Estimated value"
"BIH","Bosnia and Herzegovina","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,27.27,"E","Estimated value"
"BWA","Botswana","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,20.35,"E","Estimated value"
"BWA","Botswana","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,19.59,"E","Estimated value"
"BRA","Brazil","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,12.21,"E","Estimated value"
"BRA","Brazil","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,12.31,"E","Estimated value"
"VGB","British Virgin Islands","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.9,"E","Estimated value"
"VGB","British Virgin Islands","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.9,"E","Estimated value"
"BRN","Brunei Darussalam","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.51,"E","Estimated value"
"BRN","Brunei Darussalam","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.98,"E","Estimated value"
"BGR","Bulgaria","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,20.12,"E","Estimated value"
"BGR","Bulgaria","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2019","2019","MICRO_M3","Micrograms per cubic metre","0","Units",,,17.89,"E","Estimated value"
"BFA","Burkina Faso","NA","Not applicable","TOTAL","Total","PWM_EX","Mean population exposure to PM2.5","2018","2018","MICRO_M3","Micrograms per cubic metre","0","Units",,,58,"E","Estimated value"
